식품명,식품대분류명,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),칼슘(mg),칼륨(mg),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),과당(g),유당(g),자당(g),포도당(g),식품중량,식종
알탕,찌개 및 전골류,39,90.1,6.37,0.74,1.06,1.74,0.0,11.0,164.0,250,80.81,0.16,0.01,0.0,0.0,0.0,0.0,520g,한식
오리백숙,찌개 및 전골류,112,80.6,10.59,7.5,0.8,0.5,0.25,12.0,136.0,161,51.85,1.56,0.05,0.25,0.0,0.0,0.0,300g,한식
오리탕,찌개 및 전골류,121,76.4,9.5,6.56,1.48,6.08,3.58,32.0,297.0,317,38.47,1.33,0.04,1.33,0.0,1.18,0.58,600g,한식
오징어찌개,찌개 및 전골류,34,90.5,3.3,0.22,1.27,4.77,0.45,17.0,197.0,285,26.34,0.05,0.0,0.28,0.0,0.0,0.17,250g,한식
청국장찌개,찌개 및 전골류,47,89.8,5.03,2.11,1.09,1.92,0.0,27.0,157.0,242,2.61,0.45,0.01,0.0,0.0,0.0,0.0,200g,한식
추어탕,찌개 및 전골류,54,89.4,3.24,3.18,1.15,3.07,0.0,135.0,95.0,246,15.84,0.31,0.01,0.0,0.0,0.0,0.0,350g,한식
콩비지찌개,찌개 및 전골류,69,85.2,6.74,3.08,1.4,3.57,3.25,23.0,277.0,289,7.12,0.51,0.01,1.63,0.0,1.07,0.55,400g,한식
가오리찜,찜류,102,75.7,21.99,1.39,0.43,0.46,0.06,8.0,11.0,151,91.28,0.26,0.0,0.06,0.0,0.0,0.0,200g,한식
깻잎찜,찜류,97,79.7,5.21,5.86,3.27,5.96,1.33,260.0,565.0,792,0.0,0.46,0.02,0.62,0.0,0.17,0.55,100g,한식
꼬막찜,찜류,96,76.0,12.03,2.28,2.78,6.97,1.03,73.0,221.0,736,38.3,0.59,0.04,0.14,0.0,0.0,0.83,200g,한식
